id,cluster
12101,190
24420,115
308,23
1826,23
320,12
6399,228
68721,111
754,100
431,190
130150,4
9519,225
1535,100
254375,219
419743,43
14533,160
11631,166
1374,113
924,49
85889,129
423899,83
9036,119
31997,167
15789,69
9533,78
152737,7
51209,117
314402,19
11360,32
9732,95
8195,179
9344,19
127560,96
37056,23
9314,66
84332,104
36955,209
12783,126
9684,82
419709,216
8881,26
337339,179
310593,7
9591,50
140870,95
15723,7
1412,4
547,3
192136,83
13667,165
181886,101
175774,208
11975,15
10692,78
41428,137
604,92
954,209
10590,158
2289,126
254470,130
29702,170
340101,74
15867,4
10882,195
10423,20
339692,73
43347,70
252171,172
79113,192
110390,7
300669,238
49018,17
262391,175
942,171
283235,24
20770,175
12089,149
25941,117
445651,123
647,189
77174,131
11162,43
487242,89
1946,123
62837,4
10212,136
85446,6
226857,46
458737,53
274870,133
332979,132
8982,117
10846,23
278927,119
51999,133
563,224
15144,112
113160,43
44629,73
2048,98
744,84
249,42
15775,115
49530,212
272878,119
8736,175
332794,20
308266,129
2652,42
297270,95
10780,36
22051,43
9390,23
42188,133
9282,161
9283,23
64688,164
10865,208
2623,75
72976,96
3509,91
353571,4
238713,164
879,80
276907,0
11006,228
82507,31
491472,64
29161,177
131634,134
10276,175
19255,23
39108,235
7980,54
9798,72
8193,112
17360,14
9270,68
1771,18
272693,112
2109,168
957,194
2755,7
11873,67
9563,67
11033,101
3683,30
256917,14
443463,4
11916,34
265189,124
2266,43
12763,56
2253,169
9647,192
11013,23
297802,220
1573,141
11170,67
7874,4
375183,24
8068,181
9090,86
16281,55
446021,161
376570,230
256835,21
286519,56
37735,135
10399,43
9762,6
11022,73
16620,152
2787,123
3573,23
13435,160
2288,3
13813,30
9451,135
3877,113
168672,19
676,30
7229,97
10133,190
49519,21
10439,157
75258,182
291805,181
710,76
11820,43
2039,13
11864,174
9403,7
14411,69
11571,241
50839,42
10779,232
77887,32
2462,194
417670,4
2669,201
21208,170
326359,95
2016,30
11071,190
98548,4
390734,235
83542,99
854,145
1817,42
8390,166
11468,161
38408,23
252178,72
468202,0
400155,21
351145,42
12626,23
11439,101
2255,75
10973,172
225574,141
26466,136
8852,172
2259,43
22971,46
2293,109
8348,94
10785,137
1255,137
9749,97
321697,83
9778,23
251519,138
9900,175
13685,120
11652,67
13312,214
280217,208
9476,139
8699,175
11302,175
17578,95
256591,23
313922,238
27585,113
16093,106
393457,4
16995,42
602,140
170522,69
192141,141
455980,7
9503,4
86838,204
5876,62
10974,228
22947,43
39254,197
4929,34
11935,66
138832,97
11708,80
953,32
1991,141
62214,142
244506,4
9663,178
300666,24
59967,212
17979,37
2614,143
13509,157
9538,62
9960,85
110415,215
68726,134
228161,200
38055,200
9707,170
11774,61
10837,21
131631,224
364,189
8367,139
8848,15
294963,177
10776,232
10649,81
5038,43
2064,75
253331,4
12281,19
10138,111
1648,213
65760,15
8880,26
9359,219
4271,175
2362,92
4566,42
9411,176
157841,119
243683,6
107985,143
454,43
337170,144
52274,177
9469,24
347026,83
438799,197
154400,19
55420,174
2112,227
10998,1
244772,53
11227,63
287,36
9799,81
253412,39
82992,81
561,49
11319,182
207933,167
11054,130
8489,20
3784,70
9789,175
49444,32
12924,133
4912,33
11770,163
10687,14
29963,43
12079,129
277217,61
9007,145
11448,36
11455,175
19933,21
7551,221
9942,163
9318,69
232175,24
435126,7
14410,114
14370,36
11092,47
41233,50
400650,206
21755,219
260514,69
1903,121
198184,197
25195,183
12573,7
913,33
564,189
56812,218
76726,66
10015,7
577,129
72190,236
303857,189
9433,231
9819,108
2161,18
315664,7
691,209
91745,48
10388,173
920,69
37137,97
379149,218
248774,36
1495,146
19185,55
393764,7
276908,104
105864,95
7305,223
390043,148
249397,68
44249,96
150689,115
14367,171
8326,119
8697,171
11507,47
338768,7
1371,4
6973,161
14181,15
12150,147
227735,4
9781,105
15393,33
10195,189
10027,227
11086,23
1365,3
1824,36
712,75
4517,126
82424,32
254,231
13510,17
12151,175
392044,52
2616,29
119675,43
158011,0
11967,25
16395,17
37686,9
2005,130
29917,101
11780,122
360638,128
8265,175
846,190
1494,110
10873,49
1364,154
12244,215
11690,87
1721,228
15016,32
10758,36
9558,0
188927,18
339419,160
250124,43
36819,213
9654,227
1696,49
10323,208
13062,32
11340,148
296524,110
7453,229
9387,189
400535,198
9481,161
10711,117
107846,141
429300,85
49049,215
11522,70
398175,81
277,240
12187,63
384680,96
13465,58
12651,8
493551,83
9442,149
75900,20
9880,112
246860,4
369885,74
399579,92
1947,113
328425,101
11542,62
49517,35
13820,194
11184,20
353486,150
276844,23
2300,142
337674,42
11880,151
12246,146
9659,224
11836,142
467632,230
43645,145
14635,67
511785,7
37233,162
4978,95
12178,23
2044,43
3989,228
51052,142
223485,41
10362,75
12205,170
257,19
11208,35
10264,96
634,128
41402,68
8976,82
365222,83
22798,67
254578,4
411999,190
283366,241
399170,164
2142,176
87502,4
11974,156
209263,128
20504,215
660,209
75802,36
10166,189
3902,152
402,101
50837,108
10493,59
156711,36
4547,15
12233,142
11371,116
11977,163
46146,172
1125,4
62630,117
28942,190
10347,227
76338,189
1858,140
2758,206
10675,161
10115,7
38199,203
4523,145
10412,72
16241,153
82703,95
71864,206
9766,25
239566,152
8292,227
9839,75
407655,185
9560,46
11515,20
10316,4
87825,43
402298,83
1871,94
97,134
429203,129
9058,36
2882,43
136799,21
1439,3
1552,29
212716,23
10510,192
8696,7
152747,231
10586,226
245,77
303991,216
170687,142
5994,63
177494,129
298,0
12153,175
245775,20
4437,91
464502,218
11183,175
140300,69
11655,59
428495,42
38050,91
1246,75
858,128
2163,72
6415,228
157386,48
1875,94
768,170
11601,31
11253,220
6878,61
10803,215
321751,14
41216,182
483104,36
175112,32
18129,19
5353,209
96724,43
95,92
278236,48
9062,43
8769,172
2001,51
241842,55
457136,83
6072,53
5595,31
9326,84
310135,134
18331,194
10226,214
39514,171
23202,156
11087,42
24803,43
17332,90
10995,154
105077,197
11134,81
9602,188
87492,155
284303,59
8649,53
253306,156
7457,225
77459,21
171274,129
9031,228
591,101
398929,175
238636,177
433310,145
86825,59
9367,81
474335,175
9362,151
26171,4
9613,35
11364,43
1948,239
9357,17
11497,16
9871,49
294254,215
4108,81
353070,97
11313,68
310,180
10189,148
10215,63
332340,233
11076,119
84355,120
8271,35
9336,97
11135,182
46420,112
11838,60
15854,142
787,239
348350,18
480530,67
241239,15
8827,7
35052,159
1635,224
12165,3
6081,168
376166,43
9374,157
13971,48
8669,135
9950,4
396810,11
8872,130
6312,122
200505,67
11185,204
10909,0
9410,23
8967,108
245916,161
21629,175
956,76
316152,158
8355,69
5255,182
11322,19
9726,23
20539,96
13448,101
1701,81
462919,23
87499,159
160139,101
10656,141
135397,92
410117,4
14746,141
9319,141
3635,160
1597,36
11068,75
796,120
74513,158
10183,4
91586,17
17609,59
136403,36
78698,139
68727,161
11009,56
8270,15
13155,241
39103,89
400,51
7443,142
407436,39
8536,220
4587,23
8065,19
325789,40
44945,15
10652,14
339964,140
795,115
11003,36
61404,81
92591,129
146015,42
334524,85
11624,175
38363,162
309299,83
171540,97
45132,7
26388,35
13291,225
513574,6
452,7
2925,175
9087,23
239678,7
1389,36
11520,165
205775,201
227973,69
39104,235
10045,123
37933,208
2788,23
10156,175
3179,142
15762,178
44896,69
636,99
300693,20
443009,7
9740,78
157847,4
206408,77
943,171
1887,96
11543,163
9737,168
12113,72
425591,225
12160,110
